Date/Time,T [outside],T [comb 1/2],T [comb 4/5],T [comb 5/6],Humidity
2018/11/07 06:12:00,10.3,34.2,25.7,24.5,50.3
2018/11/07 06:17:00,10.3,34.2,26.0,24.4,49.5
2018/11/07 06:22:00,10.3,34.5,26.0,24.4,52.8
2018/11/07 06:27:00,10.3,34.5,26.0,24.4,52.3
2018/11/07 06:32:00,10.3,34.7,25.7,24.4,52.0
2018/11/07 06:37:00,10.3,34.7,25.7,24.4,52.4
2018/11/07 06:42:00,10.3,34.7,26.0,24.3,52.0
2018/11/07 06:47:00,10.0,34.5,25.7,24.3,49.8
2018/11/07 06:52:00,10.0,34.5,25.7,24.3,50.8
2018/11/07 06:57:00,10.0,34.5,25.7,24.3,52.0
2018/11/07 07:02:00,10.3,34.2,25.7,24.3,51.0
2018/11/07 07:07:00,10.0,34.0,25.7,24.3,51.5
2018/11/07 07:12:00,10.0,34.0,25.5,24.2,52.2
2018/11/07 07:17:00,10.0,34.5,25.5,24.2,52.2
2018/11/07 07:22:00,10.0,34.5,25.5,24.2,51.9
2018/11/07 07:27:00,10.0,34.5,25.7,24.1,49.5
2018/11/07 07:32:00,10.0,34.5,25.7,24.1,52.5
2018/11/07 07:37:00,10.0,34.2,26.2,24.1,50.2
2018/11/07 07:42:00,10.0,34.5,26.0,24.2,49.5
2018/11/07 07:47:00,10.0,34.5,26.0,24.1,49.4
2018/11/07 07:52:00,10.0,34.5,25.7,24.1,49.8
2018/11/07 08:07:00,10.0,34.7,25.5,24.0,49.9
2018/11/07 08:12:00,9.8,34.2,25.2,24.1,50.5 
2018/11/07 08:17:00,9.8,34.2,25.7,24.0,49.5 
2018/11/07 08:22:00,9.8,34.5,25.5,24.1,50.4 
2018/11/07 08:27:00,9.5,34.5,25.5,24.1,51.1 
2018/11/07 08:32:00,9.5,34.2,25.5,24.1,52.6 
2018/11/07 08:37:00,9.5,34.2,25.2,24.0,52.0 
2018/11/07 08:42:00,9.3,34.2,25.5,24.0,50.4 
2018/11/07 08:47:00,9.5,34.2,25.5,23.9,53.3 
2018/11/07 08:52:00,9.5,34.5,25.2,23.9,52.2 
2018/11/07 08:57:00,9.5,34.5,25.2,23.9,51.9 
2018/11/07 09:02:00,9.5,34.5,25.0,23.9,51.8 
2018/11/07 09:07:00,9.5,34.5,25.2,23.9,52.1 
2018/11/07 09:12:00,9.5,34.0,25.2,23.9,51.8 
2018/11/07 09:17:00,9.5,34.0,25.2,23.9,51.7 
2018/11/07 09:22:00,9.5,34.2,25.0,23.8,50.9 
2018/11/07 09:27:00,9.8,34.0,25.0,23.7,54.2 
2018/11/07 09:32:00,9.8,34.0,25.2,23.8,50.9 
